Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
5.6,1,45,0,1,228,143,1,1
6.1,1,46,0,1,206,143,1,1
6.2,1,47,0,1,206,138,1,1
6.3,0,47,0,0,206,143,1,1
6.4,1,48,0,1,206,143,1,1
6.5,1,49,0,1,206,138,1,1
6.6,1,50,0,1,206,143,1,1
7.1,1,51,0,1,228,143,1,1
7.2,1,52,0,1,228,138,1,1
7.3,1,53,0,1,228,143,1,1
7.4,0,54,1,1,228,138,1,1
7.5,6,60,0,6,228,138,1,1
7.6,1,61,0,1,228,138,1,1
7.7,1,62,0,1,228,143,1,1
8.1,1,63,0,1,206,143,1,1
8.2,4,67,0,4,206,138,1,1
8.3,1,68,0,1,206,138,1,1
8.4,2,70,0,2,206,143,1,1
8.5,6,76,0,6,206,143,1,1
8.6,4,80,0,4,206,143,1,1
9.1,1,81,0,1,51,138,1,1
9.2,4,85,0,4,51,143,1,1
9.3,1,86,0,1,51,143,1,1
9.4,4,90,0,4,51,138,1,1
9.5,1,91,0,1,51,138,1,1
9.6,1,92,0,1,51,143,1,1
10.1,1,94,1,2,5,143,1,1
10.2,0,94,0,0,5,138,1,1
10.3,1,95,0,1,5,138,1,1
10.4,1,96,0,1,5,143,1,1
10.5,4,100,0,4,5,138,1,1
10.6,1,101,0,1,5,138,1,1
10.7,0,101,0,0,5,143,1,1
11.1,1,102,0,1,206,138,1,1
11.2,6,108,0,6,206,232,1,1
11.3,0,108,0,0,206,232,1,1
11.4,0,108,0,0,206,232,1,1
11.5,1,109,0,1,206,232,1,1
11.6,1,110,0,1,206,138,1,1
12.1,0,111,1,1,5,138,1,1
12.2,1,112,0,1,5,138,1,1
12.3,0,112,0,0,5,232,1,1
12.4,1,113,0,1,5,232,1,1
12.5,0,113,0,0,5,138,1,1
12.6,1,114,0,1,5,138,1,1
12.7,1,115,0,1,5,232,1,1
13.1,6,121,0,6,206,232,1,1
13.2,0,121,0,0,206,232,1,1
13.3,0,121,0,0,206,242,1,1
13.4,2,123,0,2,206,236,1,1
13.5,0,123,0,0,206,236,1,1
13.6,0,123,0,0,206,236,1,1
14.1,0,123,0,0,228,232,1,1
14.2,1,124,0,1,228,232,1,1
14.3,1,125,0,1,228,236,1,1
14.4,0,125,0,0,228,232,1,1
14.5,0,125,0,0,228,98,1,1
14.6,0,125,0,0,228,98,1,1
15.1,0,125,0,0,5,236,1,1
15.2,0,125,0,0,5,236,1,1
15.3,0,125,0,0,5,236,1,1
15.4,1,126,0,1,5,236,1,1
15.5,0,126,0,0,5,98,1,1
15.6,0,126,0,0,5,98,1,1
16.1,0,126,0,0,228,236,1,1
16.2,0,126,0,0,228,236,1,1
16.3,1,127,0,1,228,236,1,1
16.4,1,128,0,1,228,131,1,1
16.5,4,132,0,4,228,236,1,1
16.6,1,133,0,1,228,236,1,1
17.1,6,139,0,6,5,236,1,1
17.2,1,140,0,1,5,236,1,1
17.3,1,141,0,1,5,131,1,1
17.4,1,142,0,1,5,236,1,1
17.5,1,143,0,1,5,131,1,1
17.6,1,144,0,1,5,236,1,1
18.1,0,144,0,0,126,236,1,1
18.2,1,145,0,1,126,236,1,1
18.3,1,146,0,1,126,131,1,1
18.4,0,146,0,0,126,236,1,1
18.5,6,152,0,6,126,236,1,1
18.6,4,156,0,4,126,236,1,1
19.1,3,159,0,3,51,131,1,1
19.2,0,159,0,0,51,236,1,1
19.3,0,159,0,0,51,236,1,1
0.1,1,1,0,1,98,265,2,4
0.2,0,1,0,0,98,261,2,4
0.3,0,1,0,0,98,261,2,4
0.4,0,1,0,0,98,261,2,4
0.5,4,5,0,4,98,261,2,4
0.6,0,5,0,0,98,261,2,4
1.1,2,7,0,2,236,265,2,4
1.2,4,11,0,4,236,265,2,4
1.3,0,11,0,0,236,265,2,4
1.4,1,12,0,1,236,265,2,4
1.5,0,12,0,0,236,261,2,4
1.6,0,12,0,0,236,261,2,4
2.1,2,14,0,2,98,265,2,4
2.2,0,14,0,0,98,265,2,4
2.3,1,15,0,1,98,265,2,4
