Index,Over,Runs_on_that_bowl,Bowler_ID,Striker_ID,Venue_ID,Team_ID,Strike_Rate,Runs_on_previous_ball,Avg_Extra_Runs_Last_5,Avg_Extra_Runs_Last_4,Avg_Extra_Runs_Last_3,Avg_Total_Runs_Last_3,Avg_Total_Runs_Last_4,Avg_Total_Runs_Last_5
15330,16.1,1,222,240,2,1,1.666666667,1,1,1.25,0,1,2,1.8
15331,16.2,1,222,240,2,1,1.666666667,1,1.2,0.25,0.33,1,1,1.8
15332,16.3,4,222,143,2,1,2.2,1,0.2,0.25,0.33,1,1,1
15333,16.4,0,222,143,2,1,2.2,4,0.2,0.25,0.33,2,1.75,1.6
15334,16.5,6,222,143,2,1,2.2,0,0.2,0.25,0,1.67,1.5,1.4
15335,16.6,1,222,143,2,1,2.2,6,0.2,0,0,3.33,2.75,2.4
15336,16.7,1,222,143,2,1,2.2,1,0.2,0.25,0.33,2.33,2.75,2.4
15337,16.8,4,222,240,2,1,1.666666667,1,0.2,0.25,0.33,2.67,2,2.4
15338,17.1,6,173,143,2,1,1.75,4,0.2,0.25,0.33,2,3,2.4
15339,17.2,0,173,143,2,1,1.75,6,0.2,0.25,0,3.67,3,3.6
15340,17.3,1,173,143,2,1,1.75,0,0.2,0,0,3.33,2.75,2.4
15341,17.4,1,173,240,2,1,1.333333333,1,0,0,0,2.33,2.75,2.4
15342,17.5,2,173,143,2,1,1.75,1,0,0,0,0.67,2,2.4
15343,17.6,1,173,143,2,1,1.75,2,0,0,0,1.33,1,2
15344,18.1,1,53,143,2,1,2,1,0,0,0,1.33,1.25,1
15345,18.2,1,53,240,2,1,0.777777778,1,0,0,0,1.33,1.25,1.2
15346,18.3,1,53,240,2,1,0.777777778,1,0.2,0.25,0.33,1,1.25,1.2
15347,18.4,0,53,143,2,1,2,1,0.2,0.25,0.33,1,1,1.2
15348,18.5,4,53,143,2,1,2,0,0.2,0.25,0.33,0.67,0.75,0.8
15349,18.6,4,53,143,2,1,2,4,0.2,0.25,0,1.67,1.5,1.4
15350,18.7,2,53,143,2,1,2,4,0.2,0,0,2.67,2.25,2
15351,19.1,1,68,240,2,1,0.833333333,2,0,0,0,3.33,2.5,2.2
15352,19.2,1,68,240,2,1,0.833333333,1,0.2,0.25,0.33,2.33,2.75,2.2
15353,19.3,1,68,240,2,1,0.833333333,1,0.4,0.5,0.67,1.33,2,2.4
15354,19.4,4,68,143,2,1,3.25,1,0.4,0.5,0.67,1,1.25,1.8
15355,19.5,6,68,143,2,1,3.25,4,0.4,0.5,0.33,2,1.75,1.8
15356,19.6,6,68,143,2,1,3.25,6,0.4,0.25,0,3.67,3,2.6
15357,19.7,0,68,143,2,1,3.25,6,0.2,0,0,5.33,4.25,3.6
15358,19.8,2,68,143,2,1,3.25,0,0,0,0,4,4,3.4
15359,0.1,0,135,199,0,5,0.8,2,0,0,0,2.67,3.5,3.6
15360,0.2,1,135,199,0,5,0.8,0,0,0,0,0.67,2,2.8
15361,0.3,1,135,134,0,5,2.333333333,1,0,0,0,1,0.75,1.8
15362,0.4,0,135,199,0,5,0.8,1,0,0,0,0.67,1,0.8
15363,0.5,0,135,199,0,5,0.8,0,0,0,0,0.67,0.5,0.8
15364,0.6,0,135,199,0,5,0.8,0,0,0,0,0.33,0.5,0.4
15365,1.1,0,87,134,0,5,1.692307692,0,0,0,0,0,0.25,0.4
15366,1.2,0,87,134,0,5,1.692307692,0,0,0,0,0,0,0.2
15367,1.3,0,87,134,0,5,1.692307692,0,0,0,0,0,0,0
15368,1.4,1,87,134,0,5,1.692307692,0,0,0,0,0,0,0
15369,1.5,6,87,134,0,5,1.692307692,1,0.2,0.25,0.33,0.33,0.25,0.2
15370,1.6,4,87,134,0,5,1.692307692,6,0.2,0.25,0.33,2.33,1.75,1.4
15371,1.7,0,87,134,0,5,1.692307692,4,0.2,0.25,0.33,3.67,2.75,2.2
15372,2.1,2,135,199,0,5,0.8,0,0.2,0.25,0,3.33,2.75,2.2
15373,2.2,0,135,199,0,5,0.8,2,0.2,0,0,2,3,2.6
15374,2.3,1,135,199,0,5,0.8,0,0,0,0,0.67,1.5,2.4
15375,2.4,4,135,134,0,5,2.333333333,1,0,0,0,1,0.75,1.4
15376,2.5,4,135,134,0,5,2.333333333,4,0,0,0,1.67,1.75,1.4
15377,2.6,1,135,134,0,5,2.333333333,4,0,0,0,3,2.25,2.2
15378,3.1,6,87,134,0,5,1.692307692,1,0,0,0,3,2.5,2
15379,3.2,4,87,134,0,5,1.692307692,6,0,0,0,3.67,3.75,3.2
15380,3.3,1,87,134,0,5,1.692307692,4,0,0,0,3.67,3.75,3.8
15381,3.4,4,87,199,0,5,1.545454545,1,0,0,0,3.67,3,3.2
15382,3.5,1,87,199,0,5,1.545454545,4,0,0,0,3,3.75,3.2
15383,3.6,0,87,134,0,5,1.692307692,1,0,0,0,2,2.5,3.2
15384,4.1,4,135,199,0,5,0.8,0,0,0,0,1.67,1.5,2
15385,4.2,1,135,199,0,5,0.8,4,0,0,0,1.67,2.25,2
15386,4.3,6,135,134,0,5,2.333333333,1,0.2,0.25,0.33,1.67,1.5,2
15387,4.4,0,135,134,0,5,2.333333333,6,0.2,0.25,0.33,3.67,2.75,2.4
15388,4.5,4,135,134,0,5,2.333333333,0,0.2,0.25,0.33,2.33,2.75,2.2
15389,4.6,1,135,134,0,5,2.333333333,4,0.2,0.25,0,3.33,2.75,3
15390,4.7,1,135,134,0,5,2.333333333,1,0.4,0.25,0.33,1.67,2.75,2.4
15391,5.1,4,123,134,0,5,2,1,0.2,0.25,0.33,2,1.5,2.4
15392,5.2,0,123,134,0,5,2,4,0.2,0.25,0.33,2,2.5,2
15393,5.3,1,123,100,0,5,1.7,0,0.2,0.25,0,1.67,1.5,2
15394,5.4,1,123,199,0,5,1.774193548,1,0.2,0,0,1.67,1.5,1.4
15395,5.5,1,123,100,0,5,1.7,1,0,0,0,0.67,1.5,1.4
15396,5.6,4,123,199,0,5,1.774193548,1,0,0,0,1,0.75,1.4
15397,6.1,1,167,100,0,5,1,4,0,0,0,2,1.75,1.4
15398,6.2,1,167,199,0,5,0.666666667,1,0,0,0,2,1.75,1.6
15399,6.3,0,167,100,0,5,1,1,0,0,0,2,1.75,1.6
15400,6.4,1,167,100,0,5,1,0,0,0,0,0.67,1.5,1.4
15401,6.5,1,167,199,0,5,0.666666667,1,0,0,0,0.67,0.75,1.4
15402,6.6,0,167,199,0,5,0.666666667,1,0.2,0.25,0.33,0.67,0.75,0.8
15403,6.7,1,167,199,0,5,0.666666667,0,0.2,0.25,0.33,0.67,0.5,0.6
15404,7.1,2,123,199,0,5,1.774193548,1,0.2,0.25,0.33,0.67,0.75,0.6
15405,7.2,4,123,199,0,5,1.774193548,2,0.2,0.25,0,1,1,1
15406,7.3,1,123,199,0,5,1.774193548,4,0.2,0,0,2.33,1.75,1.6
15407,7.4,1,123,100,0,5,1.7,1,0,0,0,2.33,2,1.6
15408,7.5,1,123,199,0,5,1.774193548,1,0,0,0,2,2,1.8
15409,7.6,1,123,100,0,5,1.7,1,0,0,0,1,1.75,1.8
15410,8.1,0,167,100,0,5,1,1,0,0,0,1,1,1.6
15411,8.2,4,167,100,0,5,1,0,0,0,0,0.67,0.75,0.8
15412,8.3,1,167,100,0,5,1,4,0,0,0,1.67,1.5,1.4
